Handle,Title,Body (HTML),Vendor,Product category,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
die-cut-stickers-1x1-5x20,,,,,,,,,2x8,,,,,,,,100,deny,manual,1.55,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x9,,,,,,,,100,deny,manual,1.62,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x10,,,,,,,,100,deny,manual,1.69,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x11,,,,,,,,100,deny,manual,1.76,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x12,,,,,,,,100,deny,manual,1.84,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x13,,,,,,,,100,deny,manual,1.89,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x14,,,,,,,,100,deny,manual,1.96,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x15,,,,,,,,100,deny,manual,2.03,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x16,,,,,,,,100,deny,manual,2.09,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x17,,,,,,,,100,deny,manual,2.16,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x18,,,,,,,,100,deny,manual,2.21,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x19,,,,,,,,100,deny,manual,2.29,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x20,,,,,,,,100,deny,manual,2.34,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x1,,,,,,,,100,deny,manual,1.01,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x2,,,,,,,,100,deny,manual,1.15,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x3,,,,,,,,100,deny,manual,1.28,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x4,,,,,,,,100,deny,manual,1.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x5,,,,,,,,100,deny,manual,1.51,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x6,,,,,,,,100,deny,manual,1.62,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x7,,,,,,,,100,deny,manual,1.73,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x8,,,,,,,,100,deny,manual,1.84,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x9,,,,,,,,100,deny,manual,1.93,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x10,,,,,,,,100,deny,manual,2.03,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x11,,,,,,,,100,deny,manual,2.12,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x12,,,,,,,,100,deny,manual,2.21,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x13,,,,,,,,100,deny,manual,2.32,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x14,,,,,,,,100,deny,manual,2.41,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x15,,,,,,,,100,deny,manual,2.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x16,,,,,,,,100,deny,manual,2.59,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x17,,,,,,,,100,deny,manual,2.68,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x18,,,,,,,,100,deny,manual,2.77,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x19,,,,,,,,100,deny,manual,2.86,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,3x20,,,,,,,,100,deny,manual,2.95,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x1,,,,,,,,100,deny,manual,1.06,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x2,,,,,,,,100,deny,manual,1.24,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x3,,,,,,,,100,deny,manual,1.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x4,,,,,,,,100,deny,manual,1.55,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x5,,,,,,,,100,deny,manual,1.69,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x6,,,,,,,,100,deny,manual,1.84,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x7,,,,,,,,100,deny,manual,1.96,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x8,,,,,,,,100,deny,manual,2.09,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x9,,,,,,,,100,deny,manual,2.21,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x10,,,,,,,,100,deny,manual,2.34,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x11,,,,,,,,100,deny,manual,2.47,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x12,,,,,,,,100,deny,manual,2.59,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x13,,,,,,,,100,deny,manual,2.72,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x14,,,,,,,,100,deny,manual,2.83,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x15,,,,,,,,100,deny,manual,2.95,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x16,,,,,,,,100,deny,manual,3.06,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x17,,,,,,,,100,deny,manual,3.17,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x18,,,,,,,,100,deny,manual,3.28,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x19,,,,,,,,100,deny,manual,3.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,4x20,,,,,,,,100,deny,manual,3.51,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x1,,,,,,,,100,deny,manual,1.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x2,,,,,,,,100,deny,manual,1.31,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x3,,,,,,,,100,deny,manual,1.51,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x4,,,,,,,,100,deny,manual,1.69,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x5,,,,,,,,100,deny,manual,1.85,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x6,,,,,,,,100,deny,manual,2.03,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x7,,,,,,,,100,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x8,,,,,,,,100,deny,manual,2.34,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x9,,,,,,,,100,deny,manual,2.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x10,,,,,,,,100,deny,manual,2.65,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x11,,,,,,,,100,deny,manual,2.79,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x12,,,,,,,,100,deny,manual,2.95,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x13,,,,,,,,100,deny,manual,3.08,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x14,,,,,,,,100,deny,manual,3.22,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x15,,,,,,,,100,deny,manual,3.37,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x16,,,,,,,,100,deny,manual,3.51,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x17,,,,,,,,100,deny,manual,3.64,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x18,,,,,,,,100,deny,manual,3.78,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x19,,,,,,,,100,deny,manual,3.91,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,5x20,,,,,,,,100,deny,manual,4.05,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,Custom Die Cut Stickers,,Stickerbull,,holder-die-cut-stickers,custom-app-config,true,Size,6x1,,,,,,,,100,deny,manual,1.15,,true,true,,https://cdn.shopify.com/s/files/1/0637/7396/6592/files/DieCut_Sticker.png?v=1668475183,1,die cut sticker,,,,,,,,,,,,,,,,,,lb,,,active
die-cut-stickers-6x1-10x20,,,,,,,,,6x2,,,,,,,,100,deny,manual,1.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x3,,,,,,,,100,deny,manual,1.62,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x4,,,,,,,,100,deny,manual,1.84,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x5,,,,,,,,100,deny,manual,2.03,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x6,,,,,,,,100,deny,manual,2.21,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x7,,,,,,,,100,deny,manual,2.41,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x8,,,,,,,,100,deny,manual,2.59,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x9,,,,,,,,100,deny,manual,2.77,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x10,,,,,,,,100,deny,manual,2.95,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x11,,,,,,,,100,deny,manual,3.11,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x12,,,,,,,,100,deny,manual,3.28,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x13,,,,,,,,100,deny,manual,3.46,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x14,,,,,,,,100,deny,manual,3.62,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x15,,,,,,,,100,deny,manual,3.78,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x16,,,,,,,,100,deny,manual,3.94,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x17,,,,,,,,100,deny,manual,4.09,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x18,,,,,,,,100,deny,manual,4.25,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x19,,,,,,,,100,deny,manual,4.41,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,6x20,,,,,,,,100,deny,manual,4.55,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x1,,,,,,,,100,deny,manual,1.19,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x2,,,,,,,,100,deny,manual,1.48,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x3,,,,,,,,100,deny,manual,1.73,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x4,,,,,,,,100,deny,manual,1.96,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x5,,,,,,,,100,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x6,,,,,,,,100,deny,manual,2.41,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x7,,,,,,,,100,deny,manual,2.63,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x8,,,,,,,,100,deny,manual,2.83,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x9,,,,,,,,100,deny,manual,3.02,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x10,,,,,,,,100,deny,manual,3.22,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x11,,,,,,,,100,deny,manual,3.42,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x12,,,,,,,,100,deny,manual,3.62,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x13,,,,,,,,100,deny,manual,3.80,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x14,,,,,,,,100,deny,manual,4.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x15,,,,,,,,100,deny,manual,4.18,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x16,,,,,,,,100,deny,manual,4.36,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x17,,,,,,,,100,deny,manual,4.54,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x18,,,,,,,,100,deny,manual,4.72,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x19,,,,,,,,100,deny,manual,4.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,7x20,,,,,,,,100,deny,manual,5.06,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x1,,,,,,,,100,deny,manual,1.24,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x2,,,,,,,,100,deny,manual,1.55,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x3,,,,,,,,100,deny,manual,1.84,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x4,,,,,,,,100,deny,manual,2.09,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x5,,,,,,,,100,deny,manual,2.34,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x6,,,,,,,,100,deny,manual,2.59,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x7,,,,,,,,100,deny,manual,2.83,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x8,,,,,,,,100,deny,manual,3.06,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x9,,,,,,,,100,deny,manual,3.28,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x10,,,,,,,,100,deny,manual,3.51,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x11,,,,,,,,100,deny,manual,3.73,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x12,,,,,,,,100,deny,manual,3.94,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x13,,,,,,,,100,deny,manual,4.14,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x14,,,,,,,,100,deny,manual,4.36,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x15,,,,,,,,100,deny,manual,4.55,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x16,,,,,,,,100,deny,manual,4.77,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x17,,,,,,,,100,deny,manual,4.97,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x18,,,,,,,,100,deny,manual,5.17,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x19,,,,,,,,100,deny,manual,5.36,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,8x20,,,,,,,,100,deny,manual,5.54,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-6x1-10x20,,,,,,,,,9x1,,,,,,,,100,deny,manual,1.28,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
